dow,hour,count
0,1,3
0,2,3
0,3,4
0,4,4
0,5,7
0,6,7
0,7,13
0,8,13
0,9,12
0,10,11
0,11,3
0,12,15
0,13,20
0,14,13
0,15,12
0,16,23
0,17,1
1,1,11
1,2,8
1,3,5
1,4,5
1,5,9
1,6,13
1,7,10
1,8,13
1,9,6
1,10,8
1,11,10
1,12,24
1,13,20
1,14,13
1,15,13
1,16,16
1,17,6
2,0,3
2,1,8
2,2,8
2,3,3
2,4,6
2,5,7
2,6,5
2,7,13
2,8,11
2,9,17
2,10,12
2,11,11
2,12,20
2,13,16
2,14,18
2,15,14
2,16,12
2,17,1
3,1,5
3,2,8
3,3,7
3,4,5
3,5,13
3,6,5
3,7,10
3,8,9
3,9,14
3,10,10
3,11,13
3,12,15
3,13,13
3,14,11
3,15,15
3,16,16
3,17,2
4,1,5
4,2,8
4,3,7
4,4,7
4,5,10
4,6,12
4,7,4
4,8,3
4,9,11
4,10,6
4,11,3
4,12,14
4,13,22
4,14,11
4,15,18
4,16,15
4,17,2
5,1,9
5,2,11
5,3,9
5,4,16
5,5,15
5,6,27
5,7,13
5,8,17
5,9,13
5,10,11
5,11,12
5,12,23
5,13,30
5,14,24
5,15,20
5,16,19
5,17,5
6,1,12
6,2,6
6,3,9
6,4,13
6,5,12
6,6,18
6,7,27
6,8,11
6,9,12
6,10,15
6,11,6
6,12,32
6,13,30
6,14,20
6,15,17
6,16,22
6,17,7
