item,ds,yhat
Tea,2026-04-11,5.0
Tea,2026-04-12,4.0
Tea,2026-04-13,2.0
Tea,2026-04-14,2.0
Tea,2026-04-15,3.0
Tea,2026-04-16,3.0
Tea,2026-04-17,3.0
Gorkha Beer,2026-04-12,3.0
Gorkha Beer,2026-04-13,2.0
Gorkha Beer,2026-04-14,2.0
Gorkha Beer,2026-04-15,2.0
Gorkha Beer,2026-04-16,3.0
Gorkha Beer,2026-04-17,2.0
Gorkha Beer,2026-04-18,3.0
Momo,2026-04-16,2.0
Momo,2026-04-17,1.0
Momo,2026-04-18,3.0
Momo,2026-04-19,2.0
Momo,2026-04-20,2.0
Momo,2026-04-21,1.0
Momo,2026-04-22,2.0
Coffee,2026-04-09,2.0
Coffee,2026-04-10,2.0
Coffee,2026-04-11,2.0
Coffee,2026-04-12,2.0
Coffee,2026-04-13,2.0
Coffee,2026-04-14,2.0
Coffee,2026-04-15,2.0
Cold Drinks,2026-04-10,2.0
Cold Drinks,2026-04-11,3.0
Cold Drinks,2026-04-12,2.0
Cold Drinks,2026-04-13,1.0
Cold Drinks,2026-04-14,1.0
Cold Drinks,2026-04-15,2.0
Cold Drinks,2026-04-16,1.0
